"","year","relevance","sentiment","n","prop_pos"
"1",2015,"other aquaculture","bad",35,17
"2",2015,"other aquaculture","good",110,54
"3",2015,"other aquaculture","neutral",59,29
"4",2016,"other aquaculture","bad",38,20
"5",2016,"other aquaculture","good",93,49
"6",2016,"other aquaculture","neutral",60,31
"7",2017,"other aquaculture","bad",60,22
"8",2017,"other aquaculture","good",119,45
"9",2017,"other aquaculture","neutral",88,33
"10",2018,"other aquaculture","bad",38,19
"11",2018,"other aquaculture","good",100,50
"12",2018,"other aquaculture","neutral",63,31
"13",2019,"other aquaculture","bad",70,23
"14",2019,"other aquaculture","good",154,51
"15",2019,"other aquaculture","neutral",78,26
"16",2020,"other aquaculture","bad",54,18
"17",2020,"other aquaculture","good",173,59
"18",2020,"other aquaculture","neutral",66,23
"19",2021,"other aquaculture","bad",84,19
"20",2021,"other aquaculture","good",252,56
"21",2021,"other aquaculture","neutral",118,26
"22",2022,"other aquaculture","bad",153,21
"23",2022,"other aquaculture","good",293,41
"24",2022,"other aquaculture","neutral",269,38
"25",2023,"other aquaculture","bad",110,20
"26",2023,"other aquaculture","good",247,44
"27",2023,"other aquaculture","neutral",206,37
"28",2024,"other aquaculture","bad",380,22
"29",2024,"other aquaculture","good",1192,70
"30",2024,"other aquaculture","neutral",135,8
"31",2015,"seaweed aquaculture","bad",7,14
"32",2015,"seaweed aquaculture","good",14,29
"33",2015,"seaweed aquaculture","neutral",28,57
"34",2016,"seaweed aquaculture","bad",10,17
"35",2016,"seaweed aquaculture","good",32,55
"36",2016,"seaweed aquaculture","neutral",16,28
"37",2017,"seaweed aquaculture","bad",16,18
"38",2017,"seaweed aquaculture","good",45,51
"39",2017,"seaweed aquaculture","neutral",27,31
"40",2018,"seaweed aquaculture","bad",25,30
"41",2018,"seaweed aquaculture","good",35,42
"42",2018,"seaweed aquaculture","neutral",23,28
"43",2019,"seaweed aquaculture","bad",13,12
"44",2019,"seaweed aquaculture","good",68,62
"45",2019,"seaweed aquaculture","neutral",28,26
"46",2020,"seaweed aquaculture","bad",15,13
"47",2020,"seaweed aquaculture","good",72,62
"48",2020,"seaweed aquaculture","neutral",29,25
"49",2021,"seaweed aquaculture","bad",17,9
"50",2021,"seaweed aquaculture","good",141,73
"51",2021,"seaweed aquaculture","neutral",35,18
"52",2022,"seaweed aquaculture","bad",28,12
"53",2022,"seaweed aquaculture","good",166,69
"54",2022,"seaweed aquaculture","neutral",46,19
"55",2023,"seaweed aquaculture","bad",15,11
"56",2023,"seaweed aquaculture","good",78,56
"57",2023,"seaweed aquaculture","neutral",47,34
"58",2024,"seaweed aquaculture","bad",79,22
"59",2024,"seaweed aquaculture","good",256,70
"60",2024,"seaweed aquaculture","neutral",30,8
